Date,Laps,Time,Condition_Category,Cumulative_Time,Avg_Pace_min_km,Avg_HR_bpm,Max_HR_bpm,Total_Ascent_m,Total_Descent_m,Avg_Run_Cadence_spm,Avg_Stride_Length_m,Calories_C,Best_Pace_min_km,Max_Run_Cadence_spm,Moving_Time,Avg_Moving_Pace_min_km,Time_lag1,Time_lag2,Time_lag3,Cumulative_Time_lag1,Cumulative_Time_lag2,Cumulative_Time_lag3,Avg_Pace_min_km_lag1,Avg_Pace_min_km_lag2,Avg_Pace_min_km_lag3,Avg_HR_bpm_lag1,Avg_HR_bpm_lag2,Avg_HR_bpm_lag3,Max_HR_bpm_lag1,Max_HR_bpm_lag2,Max_HR_bpm_lag3,Total_Ascent_m_lag1,Total_Ascent_m_lag2,Total_Ascent_m_lag3,Total_Descent_m_lag1,Total_Descent_m_lag2,Total_Descent_m_lag3,Avg_Run_Cadence_spm_lag1,Avg_Run_Cadence_spm_lag2,Avg_Run_Cadence_spm_lag3,Avg_Stride_Length_m_lag1,Avg_Stride_Length_m_lag2,Avg_Stride_Length_m_lag3,Calories_C_lag1,Calories_C_lag2,Calories_C_lag3,Best_Pace_min_km_lag1,Best_Pace_min_km_lag2,Best_Pace_min_km_lag3,Max_Run_Cadence_spm_lag1,Max_Run_Cadence_spm_lag2,Max_Run_Cadence_spm_lag3,Moving_Time_lag1,Moving_Time_lag2,Moving_Time_lag3,Avg_Moving_Pace_min_km_lag1,Avg_Moving_Pace_min_km_lag2,Avg_Moving_Pace_min_km_lag3,month,day,Time_lagDate1,Time_lagDate2,Condition_Category_lagDate1,Condition_Category_lagDate2,Cumulative_Time_lagDate1,Cumulative_Time_lagDate2,Avg_Pace_min_km_lagDate1,Avg_Pace_min_km_lagDate2,Avg_HR_bpm_lagDate1,Avg_HR_bpm_lagDate2,Max_HR_bpm_lagDate1,Max_HR_bpm_lagDate2,Total_Ascent_m_lagDate1,Total_Ascent_m_lagDate2,Total_Descent_m_lagDate1,Total_Descent_m_lagDate2,Avg_Run_Cadence_spm_lagDate1,Avg_Run_Cadence_spm_lagDate2,Avg_Stride_Length_m_lagDate1,Avg_Stride_Length_m_lagDate2,Calories_C_lagDate1,Calories_C_lagDate2,Best_Pace_min_km_lagDate1,Best_Pace_min_km_lagDate2,Max_Run_Cadence_spm_lagDate1,Max_Run_Cadence_spm_lagDate2,Moving_Time_lagDate1,Moving_Time_lagDate2,Avg_Moving_Pace_min_km_lagDate1,Avg_Moving_Pace_min_km_lagDate2
739736,1.0,720,0,720,719,105.0,144.0,56.0,63.0,104.0,0.8,64.0,454,164.0,683,683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,30,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
739739,1.0,559,0,559,559,117.0,146.0,48.0,53.0,127.0,0.84,66.0,403,169.0,532,532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,3,720.0,0.0,0,0,720.0,0.0,719.0,0.0,105.0,0.0,144.0,0.0,56.0,0.0,63.0,0.0,104.0,0.0,0.8,0.0,64.0,0.0,454.0,0.0,164.0,0.0,683.0,0.0,683.0,0.0
739746,1.0,458,1,458,459,144.0,176.0,1.0,0.0,168.0,0.78,78.0,305,192.0,374,374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,10,559.0,720.0,0,0,559.0,720.0,559.0,719.0,117.0,105.0,146.0,144.0,48.0,56.0,53.0,63.0,127.0,104.0,0.84,0.8,66.0,64.0,403.0,454.0,169.0,164.0,532.0,683.0,532.0,683.0
739753,1.0,490,0,490,490,128.0,149.0,0.0,0.0,148.0,0.83,67.0,393,171.0,490,491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,17,458.0,559.0,1,0,458.0,559.0,459.0,559.0,144.0,117.0,176.0,146.0,1.0,48.0,0.0,53.0,168.0,127.0,0.78,0.84,78.0,66.0,305.0,403.0,192.0,169.0,374.0,532.0,374.0,532.0
739760,1.0,478,0,478,479,128.0,147.0,30.0,39.0,148.0,0.84,68.0,387,173.0,461,461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,24,490.0,458.0,0,1,490.0,458.0,490.0,459.0,128.0,144.0,149.0,176.0,0.0,1.0,0.0,0.0,148.0,168.0,0.83,0.78,67.0,78.0,393.0,305.0,171.0,192.0,490.0,374.0,491.0,374.0
739774,1.0,397,0,397,397,141.0,163.0,36.0,22.0,166.0,0.91,68.0,328,175.0,397,397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,7,478.0,490.0,0,0,478.0,490.0,479.0,490.0,128.0,128.0,147.0,149.0,30.0,0.0,39.0,0.0,148.0,148.0,0.84,0.83,68.0,67.0,387.0,393.0,173.0,171.0,461.0,490.0,461.0,491.0
739777,1.0,627,0,627,627,105.0,150.0,29.0,24.0,107.0,0.89,69.0,356,175.0,485,485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,10,397.0,478.0,0,0,397.0,478.0,397.0,479.0,141.0,128.0,163.0,147.0,36.0,30.0,22.0,39.0,166.0,148.0,0.91,0.84,68.0,68.0,328.0,387.0,175.0,173.0,397.0,461.0,397.0,461.0
739779,1.0,473,0,473,473,123.0,147.0,5.0,17.0,153.0,0.83,67.0,354,174.0,473,473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,12,627.0,397.0,0,0,627.0,397.0,627.0,397.0,105.0,141.0,150.0,163.0,29.0,36.0,24.0,22.0,107.0,166.0,0.89,0.91,69.0,68.0,356.0,328.0,175.0,175.0,485.0,397.0,485.0,397.0
739781,1.0,455,0,455,455,135.0,154.0,28.0,19.0,148.0,0.89,74.0,289,182.0,455,455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,14,473.0,627.0,0,0,473.0,627.0,473.0,627.0,123.0,105.0,147.0,150.0,5.0,29.0,17.0,24.0,153.0,107.0,0.83,0.89,67.0,69.0,354.0,356.0,174.0,175.0,473.0,485.0,473.0,485.0
739783,1.0,886,0,886,887,92.0,142.0,2.0,6.0,79.0,0.86,70.0,311,174.0,675,675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,16,455.0,473.0,0,0,455.0,473.0,455.0,473.0,135.0,123.0,154.0,147.0,28.0,5.0,19.0,17.0,148.0,153.0,0.89,0.83,74.0,67.0,289.0,354.0,182.0,174.0,455.0,473.0,455.0,473.0
