DATE,MONTH,DAY,LAPS,TIME,CONDITION_CATEGORY,CUMULATIVE_TIME,AVG_PACE_MIN_KM,AVG_HR_BPM,MAX_HR_BPM,TOTAL_ASCENT_M,TOTAL_DESCENT_M,AVG_RUN_CADENCE_SPM,AVG_STRIDE_LENGTH_M,CALORIES_C,BEST_PACE_MIN_KM,MAX_RUN_CADENCE_SPM,MOVING_TIME,AVG_MOVING_PACE_MIN_KM
2026-04-30,4,30,1.0,12.0,0,14.4,11.983333333333333,105.0,144.0,56.0,63.0,104.0,0.8,64.0,7.566666666666666,164.0,11.383333333333333,11.383333333333333
2026-05-03,5,3,1.0,9.316666666666666,0,11.18,9.316666666666666,117.0,146.0,48.0,53.0,127.0,0.84,66.0,6.716666666666667,169.0,8.866666666666667,8.866666666666667
2026-05-10,5,10,1.0,7.633333333333334,1,9.16,7.65,144.0,176.0,1.0,0.0,168.0,0.78,78.0,5.083333333333333,192.0,6.233333333333333,6.233333333333333
2026-05-17,5,17,1.0,8.166666666666666,0,9.8,8.166666666666666,128.0,149.0,0.0,0.0,148.0,0.83,67.0,6.55,171.0,8.166666666666666,8.183333333333334
2026-05-24,5,24,1.0,7.966666666666667,0,9.56,7.983333333333333,128.0,147.0,30.0,39.0,148.0,0.84,68.0,6.45,173.0,7.683333333333334,7.683333333333334
2026-06-07,6,7,1.0,6.616666666666666,0,7.94,6.616666666666666,141.0,163.0,36.0,22.0,166.0,0.91,68.0,5.466666666666667,175.0,6.616666666666666,6.616666666666666
2026-06-10,6,10,1.0,10.45,0,12.54,10.45,105.0,150.0,29.0,24.0,107.0,0.89,69.0,5.933333333333334,175.0,8.083333333333334,8.083333333333334
2026-06-12,6,12,1.0,7.883333333333334,0,9.46,7.883333333333334,123.0,147.0,5.0,17.0,153.0,0.83,67.0,5.9,174.0,7.883333333333334,7.883333333333334
2026-06-14,6,14,1.0,7.583333333333333,0,9.1,7.583333333333333,135.0,154.0,28.0,19.0,148.0,0.89,74.0,4.816666666666666,182.0,7.583333333333333,7.583333333333333
2026-06-16,6,16,1.0,14.766666666666667,0,17.72,14.783333333333333,92.0,142.0,2.0,6.0,79.0,0.86,70.0,5.183333333333334,174.0,11.25,11.25
2026-06-18,6,18,1.0,13.116666666666667,0,15.74,13.116666666666667,100.0,140.0,31.0,37.0,91.0,0.84,74.0,5.083333333333333,178.0,7.583333333333333,7.583333333333333
2026-06-21,6,21,1.0,5.633333333333334,1,6.76,5.633333333333334,155.0,176.0,2.0,0.0,161.0,1.1,64.0,4.3,185.0,5.25,5.25
2026-04-30,4,30,2.0,8.016666666666667,0,24.02,8.016666666666667,151.0,160.0,4.0,2.0,158.0,0.79,75.0,5.783333333333333,180.0,8.016666666666667,8.016666666666667
2026-05-03,5,3,2.0,7.55,0,20.26,7.566666666666666,147.0,158.0,4.0,1.0,160.0,0.82,71.0,6.816666666666666,168.0,7.55,7.55
2026-05-10,5,10,2.0,6.166666666666667,1,16.58,6.166666666666667,171.0,176.0,5.0,2.0,166.0,0.98,74.0,5.666666666666667,172.0,6.166666666666667,6.166666666666667
2026-05-17,5,17,2.0,9.833333333333334,0,21.62,9.833333333333334,130.0,150.0,43.0,35.0,133.0,0.76,71.0,6.316666666666666,163.0,9.8,9.8
2026-05-24,5,24,2.0,7.166666666666667,0,18.18,7.166666666666667,149.0,153.0,35.0,24.0,163.0,0.85,72.0,6.35,174.0,7.166666666666667,7.166666666666667
2026-06-07,6,7,2.0,7.383333333333334,0,16.82,7.4,137.0,165.0,33.0,31.0,161.0,0.84,70.0,5.95,176.0,7.383333333333334,7.4
2026-06-10,6,10,2.0,6.95,0,20.88,6.95,147.0,154.0,16.0,17.0,166.0,0.87,72.0,5.583333333333333,179.0,6.95,6.95
2026-06-12,6,12,2.0,7.766666666666667,0,18.8,7.783333333333333,141.0,153.0,45.0,40.0,158.0,0.81,73.0,5.416666666666667,174.0,7.766666666666667,7.766666666666667
2026-06-14,6,14,2.0,8.966666666666667,0,19.88,8.983333333333333,128.0,159.0,26.0,21.0,131.0,0.85,73.0,3.966666666666667,192.0,8.616666666666667,8.616666666666667
2026-06-16,6,16,2.0,7.8,0,27.1,7.816666666666666,139.0,150.0,8.0,6.0,156.0,0.82,76.0,6.016666666666667,172.0,7.8,7.816666666666666
